Spanish,English
de,of
no,no
a,to
la,the
el,he
es,is
y,and
en,in
lo,the
un,a
por,by
qué,what
me,I
una,a
te,tea
los,the
se,I know
con,with
para,for
mi,me
está,this
si,yes
bien,good
pero,but
yo,me
eso,that
las,the
sí,yes
su,his
tu,you
aquí,here
del,of the
al,to the
como,as
le,you
más,plus
esto,this
ya,already
todo,everything
esta,this
vamos,we go
muy,very
hay,there is
ahora,now
algo,something
estoy,I am
tengo,I have
nos,us
tú,you
nada,nothing
cuando,when
ha,he has
este,this
sé,I know
estás,these
así,So
puedo,may l
cómo,how
quiero,I want
sólo,alone
soy,I am
tiene,has
gracias,thanks
o,or
él,he
bueno,Okay
fue,was
ser,to be
hacer,do
son,are
todos,everyone
era,was
eres,you are
vez,time
tienes,you have
creo,I believe
ella,she
he,I
ese,that
voy,I go
puede,can
sabes,you know
hola,Hello
sus,their
porque,why
dios,God
quién,who
nunca,never
dónde,where
quieres,you want
casa,House
favor,favor
esa,that
dos,two
tan,so
señor,Sir
tiempo,weather
verdad,truth
estaba,I was